state,month,acres,burnt area [km2],number of fires,state area [km2],burnt area [%]
OR,6,16227.0,64.908,1,248608,0.026108572531857385
IL,6,10.0,0.04,1,143793,2.7817765816138475e-05
AK,7,74338.0,297.35200000000003,2,131171,0.22669035076350721
CO,7,1094.0,4.376,1,268431,0.0016302140959874234
TX,7,235.0,0.9400000000000001,1,676587,0.0001389326132485549
OR,7,65832.0,263.32800000000003,2,248608,0.10592096794954306
WA,7,8854.0,35.416000000000004,2,172119,0.02057646163410199
MT,7,20012.0,80.048,5,376962,0.021235031647752294
UT,8,1962.0,7.848,1,212818,0.0036876579988534804
CO,8,2850.0,11.4,1,268431,0.0042469014383584615
OR,8,56814.0,227.256,11,248608,0.09141137855579869
NM,8,2198.0,8.792,1,314161,0.002798565066956115
HI,8,2170.0,8.68,1,16635,0.05217914036669672
ID,8,13652.0,54.608000000000004,6,214045,0.02551239225396529
AZ,8,9908.0,39.632,2,294207,0.013470787574734796
LA,8,42982.0,171.928,4,111898,0.15364707144006148
WA,8,2673.83,10.69532,6,172119,0.006213910143563465
MN,8,110.0,0.44,1,206232,0.00021335195314015285
CA,8,330232.23,1320.92892,28,403466,0.32739534929833003
OR,9,2663.0,10.652000000000001,1,248608,0.00428465697000901
NM,9,2358.0,9.432,1,314161,0.0030022822692823106
WA,9,6243.0,24.972,5,172119,0.01450856674742475
MA,9,53.8,0.2152,2,20202,0.0010652410652410651
CO,9,1290.0,5.16,1,268431,0.0019222817036780402
CA,9,6500.0,26.0,1,403466,0.006444161341971814
AZ,9,11371.0,45.484,3,294207,0.015459863293531426
MI,10,144.0,0.5760000000000001,1,146435,0.00039334858469628164
CO,10,17.7,0.0708,1,268431,2.637549314348939e-05
CA,10,35.0,0.14,1,403466,3.4699330302925156e-05
AL,10,6.6,0.0264,1,1477953,1.7862543666814846e-06
MS,10,54.6,0.2184,1,121531,0.00017970723519102123
LA,10,1636.0,6.5440000000000005,1,111898,0.005848183166812633
